"product_name","product_url","product_in_stock","product_price","product_price_url"
"Smart WiFi Light Bulb, LUMIMAN LED RGBCW Color Changing, Compatible with Alexa, Siri and Google Home Assistant, No Hub Required, A19 E26 Multicolor 4 Pack","https://www.amazon.com/LUMIMAN-Changing-Compatible-Assistant-Multicolor/dp/B07XYXY5QR/ref=sr_1_27?keywords=smart+light&qid=1581477706&sr=8-27","","$39.99","https://www.amazon.com/LUMIMAN-Changing-Compatible-Assistant-Multicolor/dp/B07XYXY5QR/ref=sr_1_27?keywords=smart+light&qid=1581477706&sr=8-27"
"Philips Hue White and Color Ambiance LightStrip Plus Dimmable LED Smart Light (Requires Hue Hub, Works with Alexa, HomeKit & Google Assistant)","https://www.amazon.com/Philips-Ambiance-LightStrip-Compatible-Assistant/dp/B0167H33DU/ref=sr_1_28?keywords=smart+light&qid=1581477706&sr=8-28","","$79.99","https://www.amazon.com/Philips-Ambiance-LightStrip-Compatible-Assistant/dp/B0167H33DU/ref=sr_1_28?keywords=smart+light&qid=1581477706&sr=8-28"
"Smart Light Bulb with Soft White Light 2800k-6200k + RGBW, TECKIN A19 WiFi Multicolor LED Bulb Compatible with Phone, Google Home, 8w (60w Equivalent),2 Pack","https://www.amazon.com/Dimmable-Multicolor-Compatible-TECKIN-Equivalent/dp/B07GT2Q5RW/ref=sr_1_29?keywords=smart+light&qid=1581477706&sr=8-29","","$23.99","https://www.amazon.com/Dimmable-Multicolor-Compatible-TECKIN-Equivalent/dp/B07GT2Q5RW/ref=sr_1_29?keywords=smart+light&qid=1581477706&sr=8-29"
"NiteBird Smart TV Backlight Work with Alexa Google Home,Sync to Music WiFi LED TV light 9.2Ft Kit for 32'' to 60'' TV, Waterproof 5050 RGB Strip Light with Controller, Dimmable","https://www.amazon.com/NiteBird-Backlight-Waterproof-Controller-Dimmable/dp/B07XCVGL42/ref=sr_1_30?keywords=smart+light&qid=1581477706&sr=8-30","In Stock.","$17.99","https://www.amazon.com/NiteBird-Backlight-Waterproof-Controller-Dimmable/dp/B07XCVGL42/ref=sr_1_30?keywords=smart+light&qid=1581477706&sr=8-30"
"BRTLX Smart Light Bulb, RGB Dimmable Wi-Fi LED Bulb, 9W 800LM,Free APP and Voice Control, Compatible with Amazon Alexa and Google Assistant,No Hub Required,A60 E26 Multicolored Smart Bulbs (4 Pack)","https://www.amazon.com/BRTLX-Dimmable-Compatible-Assistant-Multicolored/dp/B07JFVQ6B7/ref=sr_1_31?keywords=smart+light&qid=1581477706&sr=8-31","","$34.99","https://www.amazon.com/BRTLX-Dimmable-Compatible-Assistant-Multicolored/dp/B07JFVQ6B7/ref=sr_1_31?keywords=smart+light&qid=1581477706&sr=8-31"
"LED Strip Lights, DAYBETTER 16.4 FT Smart Strip Lights 5050 Kit 150 LEDs Work with Alex Google Assistant WiFi Rope Light APP Controlled Smart Light Strip for Bedroom, Home, Ceiling, Cupboard Lighting","https://www.amazon.com/DAYBETTER-Assistant-Controlled-Cupboard-Lighting/dp/B07VQT4HR2/ref=sr_1_32?keywords=smart+light&qid=1581477706&sr=8-32","In Stock.","$24.99","https://www.amazon.com/DAYBETTER-Assistant-Controlled-Cupboard-Lighting/dp/B07VQT4HR2/ref=sr_1_32?keywords=smart+light&qid=1581477706&sr=8-32"
"Gosund Smart Dimmer Switch, Wifi Wall Light Switch Compatible with Alexa and Google Home, 4 Pack, Single-Pole, Remote Control, No Hub Required, ETL and FCC Listed","https://www.amazon.com/Gosund-Compatible-Single-Pole-Control-Required/dp/B07VP4PHJJ/ref=sr_1_33?keywords=smart+light&qid=1581477706&sr=8-33","","$75.99","https://www.amazon.com/Gosund-Compatible-Single-Pole-Control-Required/dp/B07VP4PHJJ/ref=sr_1_33?keywords=smart+light&qid=1581477706&sr=8-33"
"Treatlife Smart Light Switch（Neutral Wire Required), 2.4Ghz Wi-Fi Light Switch, Works with Alexa and Google Assistant, Schedule, Remote Control, Single Pole, ETL Listed (1 PACK)","https://www.amazon.com/Treatlife-Smart-Light-Switch-Assistant/dp/B07R7PCCT9/ref=sr_1_34?keywords=smart+light&qid=1581477706&sr=8-34","","$17.99","https://www.amazon.com/Treatlife-Smart-Light-Switch-Assistant/dp/B07R7PCCT9/ref=sr_1_34?keywords=smart+light&qid=1581477706&sr=8-34"
"TP-Link Kasa Smart WiFi Light Bulb, Multicolor - Smart LED Light Bulbs, Works with Alexa & Google (KL130)","https://www.amazon.com/Kasa-Smart-Light-Multicolor-TP-Link/dp/B07FZ6PLJG/ref=sr_1_35?keywords=smart+light&qid=1581477706&sr=8-35","","$29.99","https://www.amazon.com/Kasa-Smart-Light-Multicolor-TP-Link/dp/B07FZ6PLJG/ref=sr_1_35?keywords=smart+light&qid=1581477706&sr=8-35"
"LED Candelabra Bulbs E12 Base, Color Changing and Dimmable Smart Light Bulb, Compatible with Alexa Google Home IFTTT, Tunable White Chandelier Light Bulbs 320 lm 35w Equivalent, 3 Pack","https://www.amazon.com/Candelabra-Changing-Compatible-Chandelier-Equivalent/dp/B081L4Q5HH/ref=sr_1_36?keywords=smart+light&qid=1581477706&sr=8-36","","$28.99","https://www.amazon.com/Candelabra-Changing-Compatible-Chandelier-Equivalent/dp/B081L4Q5HH/ref=sr_1_36?keywords=smart+light&qid=1581477706&sr=8-36"
